PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;POKRYVN;PATROVITOST;KODHN;ETOLOGIE;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
181;32813102;Aphodius scrutator;hnojník zkoumavı;Brouci;Kováø Josef;20070930;20070930;;5395845;Lipnice nad Sázavou, Zelenovna;6358;Lipnice nad Sázavou;-679739;-1104969;JUØENA D., TİR V., BEZDÌK A. (2008) Pøíspìvek k faunistickému vızkumu listorohıch broukù (Coleoptera: Scarabaeoidea) na území Èeské republiky a Slovenska. Klapalekiana. 44, Supplementum. 17-176.;0;1;0;jedinci;;;;;;0;;Bos;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;0;vìrohodnı záznam;;Návrh validace;;;;;;;;300;20140210
182;32781973;Aphodius scrutator;hnojník zkoumavı;Brouci;Urban Stanislav;20080718;20080718;;5395078;Sejcká Lhota;6252;Sejcká Lhota;-752052;-1079249;JUØENA D., TİR V., BEZDÌK A. (2008) Pøíspìvek k faunistickému vızkumu listorohıch broukù (Coleoptera: Scarabaeoidea) na území Èeské republiky a Slovenska. Klapalekiana. 44, Supplementum. 17-176.;0;;0;jedinci;11-100;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;0;vìrohodnı záznam;;Návrh validace;;;;;;;;962;20140205
183;32781971;Aphodius scrutator;hnojník zkoumavı;Brouci;Maøík Martin;20040828;20040828;;5395077;Teletín;6152;Teletín;-743698;-1071608;JUØENA D., TİR V., BEZDÌK A. (2008) Pøíspìvek k faunistickému vızkumu listorohıch broukù (Coleoptera: Scarabaeoidea) na území Èeské republiky a Slovenska. Klapalekiana. 44, Supplementum. 17-176.;0;5;0;jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;0;vìrohodnı záznam;;Návrh validace;;;;;;;;1623;20140205
184;32781929;Aphodius scrutator;hnojník zkoumavı;Brouci;Urban Stanislav;20080710;20080710;;5395075;Klenovice nr. Milešov;6451;Orlické Zlákovice;-766094;-1096448;JUØENA D., TİR V., BEZDÌK A. (2008) Pøíspìvek k faunistickému vızkumu listorohıch broukù (Coleoptera: Scarabaeoidea) na území Èeské republiky a Slovenska. Klapalekiana. 44, Supplementum. 17-176.;0;;0;jedinci;11-100;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;0;vìrohodnı záznam;;Návrh validace;;;;;;;;500;20140205
185;32781912;Aphodius scrutator;hnojník zkoumavı;Brouci;Vitner Jan, Urban Stanislav;20080619;20080619;;5395071;Pøední Chlum;6351;Pøední Chlum;-765929;-1093752;JUØENA D., TİR V., BEZDÌK A. (2008) Pøíspìvek k faunistickému vızkumu listorohıch broukù (Coleoptera: Scarabaeoidea) na území Èeské republiky a Slovenska. Klapalekiana. 44, Supplementum. 17-176.;0;9;0;jedinci;;;;;;0;;Ovis, Bos;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;0;vìrohodnı záznam;;Návrh validace;;;;;;;;1102;20140205
186;32781911;Aphodius scrutator;hnojník zkoumavı;Brouci;Trmal Antonín;20030621;20030621;;5395070;Chramosty;6351;Chramosty;-757084;-1088969;JUØENA D., TİR V., BEZDÌK A. (2008) Pøíspìvek k faunistickému vızkumu listorohıch broukù (Coleoptera: Scarabaeoidea) na území Èeské republiky a Slovenska. Klapalekiana. 44, Supplementum. 17-176.;0;1;0;jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;0;vìrohodnı záznam;;Návrh validace;;;;;;;;1600;20140205
187;32781891;Aphodius scrutator;hnojník zkoumavı;Brouci;Urban Stanislav;20080717;20080717;;5395069;Chrást u Tochovic;6449;Chrást u Tochovic;-784314;-1092041;JUØENA D., TİR V., BEZDÌK A. (2008) Pøíspìvek k faunistickému vızkumu listorohıch broukù (Coleoptera: Scarabaeoidea) na území Èeské republiky a Slovenska. Klapalekiana. 44, Supplementum. 17-176.;0;;0;jedinci;11-100;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;0;vìrohodnı záznam;;Návrh validace;;;;;;;;1986;20140205
188;32781890;Aphodius scrutator;hnojník zkoumavı;Brouci;Urban Stanislav;20080725;20080725;;5395064;Oseè;6249;Oseè;-781621;-1080251;JUØENA D., TİR V., BEZDÌK A. (2008) Pøíspìvek k faunistickému vızkumu listorohıch broukù (Coleoptera: Scarabaeoidea) na území Èeské republiky a Slovenska. Klapalekiana. 44, Supplementum. 17-176.;0;;0;jedinci;11-100;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;0;vìrohodnı záznam;;Návrh validace;;;;;;;;928;20140205
189;32681858;Aphodius scrutator;hnojník zkoumavı;Brouci;Maøík Martin;20061202;20061202;;5378459;Kublov;6049;Kublov;-783681;-1053352;JUØENA D., TİR V., BEZDÌK A. (2008) Pøíspìvek k faunistickému vızkumu listorohıch broukù (Coleoptera: Scarabaeoidea) na území Èeské republiky a Slovenska. Klapalekiana. 44, Supplementum. 17-176.;0;1;0;mrtví jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;0;vìrohodnı záznam;;Návrh validace;;;;;;;;1622;20140204
190;32681856;Aphodius scrutator;hnojník zkoumavı;Brouci;Kohout Miloslav;19990612;19990612;;5378459;Kublov;6049;Kublov;-783681;-1053352;JUØENA D., TİR V., BEZDÌK A. (2008) Pøíspìvek k faunistickému vızkumu listorohıch broukù (Coleoptera: Scarabaeoidea) na území Èeské republiky a Slovenska. Klapalekiana. 44, Supplementum. 17-176.;0;2;0;jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;0;vìrohodnı záznam;;Návrh validace;;;;;;;;1622;20140204
